BCR,BirdName,BirdScientificName,BirdCount
Southeastern Coastal Plain,Yellow-breasted Chat,Icteria virens,125
Tamaulipan Brushlands,Painted Bunting,Passerina ciris,1483
Great Basin,MacGillivray's Warbler,Geothlypis tolmiei,3231
Lower Great Lakes/ St. Lawrence Plain,White-throated Sparrow,Zonotrichia albicollis,170
Atlantic Northern Forest,Swainson's Thrush,Catharus ustulatus,319
Great Basin,Bewick's Wren,Thryomanes bewickii,319
Great Basin,Common Yellowthroat,Geothlypis trichas,682
Piedmont,Eastern Towhee,Pipilo erythrophthalmus,229
New England/Mid-Atlantic Coast,Eastern Towhee,Pipilo erythrophthalmus,387
Northern Rockies,Yellow Warbler,Setophaga petechia,4577
New England/Mid-Atlantic Coast,Song Sparrow,Melospiza melodia,388
Appalachian Mountains,Song Sparrow,Melospiza melodia,1340
Badlands And Prairies,Yellow Warbler,Setophaga petechia,263
Oaks And Prairies,White-eyed Vireo,Vireo griseus,1016
Northern Pacific Rainforest,Yellow Warbler,Setophaga petechia,1598
Northern Pacific Rainforest,Dusky Flycatcher,Empidonax oberholseri,484
Southern Rockies/Colorado Plateau,Bushtit,Psaltriparus minimus,424
Eastern Tallgrass Prairie,Field Sparrow,Spizella pusilla,1428
Northern Pacific Rainforest,Orange-crowned Warbler,Leiothlypis celata,2355
Great Basin,Swainson's Thrush,Catharus ustulatus,1778
Northern Rockies,Gray Catbird,Dumetella carolinensis,2070
Mississippi Alluvial Valley,Acadian Flycatcher,Empidonax virescens,1682
Great Basin,Downy Woodpecker,Dryobates pubescens,333
Prairie Potholes,Traill's Flycatcher,Empidonax alnorum/traillii,168
Southeastern Coastal Plain,Hooded Warbler,Setophaga citrina,1343
Northern Pacific Rainforest,Warbling Vireo,Vireo gilvus,1181
Boreal Taiga Plains,American Robin,Turdus migratorius,405
Southeastern Coastal Plain,Downy Woodpecker,Dryobates pubescens,178
Boreal Taiga Plains,Hermit Thrush,Catharus guttatus,127
Northern Rockies,Common Yellowthroat,Geothlypis trichas,1743
Atlantic Northern Forest,Common Yellowthroat,Geothlypis trichas,789
Sierra Nevada,Lazuli Bunting,Passerina amoena,654
Great Basin,House Wren,Troglodytes aedon,952
Lower Great Lakes/ St. Lawrence Plain,Downy Woodpecker,Dryobates pubescens,294
